data;codvendedor;vendedor;codfornec;fornecedor;meta_valor;meta_positivacao
2025-05-01;1;Ana Beatriz Costa;1;PANE;100287.77;29
2025-05-01;1;Ana Beatriz Costa;396;QUEIJO;149748.07;33
2025-05-01;1;Ana Beatriz Costa;540;IOG;159525.02;43
2025-05-01;1;Ana Beatriz Costa;449;BRINQUEDOS;162871.54;25
2025-05-01;1;Ana Beatriz Costa;406;NUMBERONE;106174.33;31
2025-05-01;1;Ana Beatriz Costa;467;BARRAS;55258.57;45
2025-05-01;1;Ana Beatriz Costa;457;PAÇOCA;107528.68;24
2025-05-01;1;Ana Beatriz Costa;456;BALA;51797.71;50
2025-05-01;1;Ana Beatriz Costa;450;PANINIS;64718.44;14
2025-05-01;1;Ana Beatriz Costa;642;QUEIJINHOS;276355.0;31
2025-05-01;1;Ana Beatriz Costa;681;LEITECONDENSADO;67714.34;25
2025-05-01;2;Carlos Eduardo Silva;1;PANE;119619.32;41
2025-05-01;2;Carlos Eduardo Silva;396;QUEIJO;103559.2;18
2025-05-01;2;Carlos Eduardo Silva;540;IOG;230838.14;46
2025-05-01;2;Carlos Eduardo Silva;449;BRINQUEDOS;194052.91;25
2025-05-01;2;Carlos Eduardo Silva;406;NUMBERONE;246154.86;36
2025-05-01;2;Carlos Eduardo Silva;467;BARRAS;97602.48;16
2025-05-01;2;Carlos Eduardo Silva;457;PAÇOCA;214745.69;32
2025-05-01;2;Carlos Eduardo Silva;456;BALA;155894.66;39
2025-05-01;2;Carlos Eduardo Silva;450;PANINIS;265959.19;13
2025-05-01;2;Carlos Eduardo Silva;642;QUEIJINHOS;218341.14;16
2025-05-01;2;Carlos Eduardo Silva;681;LEITECONDENSADO;65153.17;31
2025-05-01;3;Daniela Oliveira Santos;1;PANE;250148.13;16
2025-05-01;3;Daniela Oliveira Santos;396;QUEIJO;112164.08;22
2025-05-01;3;Daniela Oliveira Santos;540;IOG;184071.44;18
2025-05-01;3;Daniela Oliveira Santos;449;BRINQUEDOS;155470.41;27
2025-05-01;3;Daniela Oliveira Santos;406;NUMBERONE;165657.02;14
2025-05-01;3;Daniela Oliveira Santos;467;BARRAS;160782.69;45
2025-05-01;3;Daniela Oliveira Santos;457;PAÇOCA;74477.18;44
2025-05-01;3;Daniela Oliveira Santos;456;BALA;259006.9;15
2025-05-01;3;Daniela Oliveira Santos;450;PANINIS;281591.75;25
2025-05-01;3;Daniela Oliveira Santos;642;QUEIJINHOS;91577.78;41
2025-05-01;3;Daniela Oliveira Santos;681;LEITECONDENSADO;170339.6;35
2025-05-01;4;Eduardo Almeida Neto;1;PANE;275610.72;20
2025-05-01;4;Eduardo Almeida Neto;396;QUEIJO;144743.28;34
2025-05-01;4;Eduardo Almeida Neto;540;IOG;116300.76;39
2025-05-01;4;Eduardo Almeida Neto;449;BRINQUEDOS;121312.31;45
2025-05-01;4;Eduardo Almeida Neto;406;NUMBERONE;215467.83;41
2025-05-01;4;Eduardo Almeida Neto;467;BARRAS;88699.21;28
2025-05-01;4;Eduardo Almeida Neto;457;PAÇOCA;104425.22;13
2025-05-01;4;Eduardo Almeida Neto;456;BALA;194795.07;44
2025-05-01;4;Eduardo Almeida Neto;450;PANINIS;65239.39;30
2025-05-01;4;Eduardo Almeida Neto;642;QUEIJINHOS;64291.32;47
2025-05-01;4;Eduardo Almeida Neto;681;LEITECONDENSADO;169197.13;43
2025-05-01;5;Fernanda Lima Souza;1;PANE;89358.18;42
2025-05-01;5;Fernanda Lima Souza;396;QUEIJO;70027.87;21
2025-05-01;5;Fernanda Lima Souza;540;IOG;67130.33;14
2025-05-01;5;Fernanda Lima Souza;449;BRINQUEDOS;218803.14;25
2025-05-01;5;Fernanda Lima Souza;406;NUMBERONE;150943.89;46
2025-05-01;5;Fernanda Lima Souza;467;BARRAS;111553.84;48
2025-05-01;5;Fernanda Lima Souza;457;PAÇOCA;59935.42;15
2025-05-01;5;Fernanda Lima Souza;456;BALA;154806.23;47
2025-05-01;5;Fernanda Lima Souza;450;PANINIS;191306.73;30
2025-05-01;5;Fernanda Lima Souza;642;QUEIJINHOS;283676.56;23
2025-05-01;5;Fernanda Lima Souza;681;LEITECONDENSADO;217431.49;30
2025-05-01;6;Gabriel Barbosa Rocha;1;PANE;109671.49;35
